Outcome,Star,Avg. Star,Clique,Num
2,11,5.7272727272727275,13,65
2,3,6.666666666666667,10,27
2,2,6.5,4,15
2,25,6.52,25,163
2,6,5.5,7,34
2,7,7.428571428571429,23,68
2,12,7.416666666666667,12,89
2,3,7.0,29,47
2,5,5.8,25,49
1,1,3.0,3,5
2,7,7.142857142857143,10,53
2,11,6.636363636363637,20,82
2,5,6.2,11,37
2,12,7.083333333333333,25,98
2,8,7.25,9,59
1,1,3.0,22,24
2,12,6.25,18,81
2,1,6.0,9,14
2,4,5.0,28,44
2,17,6.882352941176471,17,117
2,11,6.363636363636363,20,79
2,3,6.666666666666667,6,23
2,6,5.0,6,30
2,22,7.590909090909091,25,170
2,6,6.333333333333333,7,39
2,7,7.285714285714286,21,65
2,7,5.0,30,58
1,1,9.0,12,20
2,3,6.333333333333333,15,31
2,4,5.75,14,33
2,9,5.666666666666667,24,66
2,11,5.7272727272727275,11,63
2,1,9.0,8,16
2,2,6.0,25,35
1,1,4.0,3,6
2,17,7.0,26,128
2,6,6.333333333333333,25,57
2,3,5.333333333333333,23,36
2,10,6.9,23,82
2,13,5.461538461538462,18,76
2,5,6.2,6,32
2,5,9.2,6,47
1,1,7.0,5,11
2,5,7.2,9,40
2,29,6.862068965517241,30,199
2,7,6.285714285714286,14,51
2,5,6.0,7,32
2,5,6.8,19,48
2,12,6.5,15,81
2,19,6.842105263157895,22,132
2,8,6.875,8,55
2,16,6.6875,16,107
2,2,6.0,3,13
2,2,9.5,8,25
2,25,7.12,28,181
2,12,6.666666666666667,13,81
2,13,6.769230769230769,30,105
2,2,8.5,7,22
2,2,5.0,18,26
2,16,6.0625,17,98
2,12,6.583333333333333,17,84
2,15,6.333333333333333,17,97
2,2,6.5,29,40
2,8,5.875,9,48
2,14,5.214285714285714,19,78
2,3,7.666666666666667,4,24
2,12,6.5,27,93
2,22,7.181818181818182,24,160
2,4,6.0,12,32
1,1,10.0,19,28
2,5,6.8,22,51
2,2,8.5,3,18
2,18,6.444444444444445,24,122
2,3,6.333333333333333,4,20
2,3,7.333333333333333,4,23
2,8,6.5,15,59
2,9,6.666666666666667,9,60
2,12,5.666666666666667,19,75
2,1,4.0,3,6
1,1,10.0,21,30
2,3,4.666666666666667,5,16
2,7,7.142857142857143,12,55
2,2,6.5,4,15
2,10,6.2,26,78
2,9,7.333333333333333,21,78
2,4,7.25,9,34
2,3,7.0,20,38
2,4,7.25,20,45
2,15,6.2,26,104
2,9,7.0,12,66
2,6,5.666666666666667,7,35
2,10,6.5,19,74
2,1,4.0,16,19
2,13,6.461538461538462,18,89
2,2,5.5,25,34
1,1,10.0,3,12
1,2,3.5,4,9
2,12,7.083333333333333,12,85
2,3,5.333333333333333,22,35
2,1,7.0,5,11
2,10,5.3,13,56
2,7,6.285714285714286,13,50
2,11,6.7272727272727275,18,81
2,6,5.833333333333333,16,45
2,14,6.214285714285714,22,95
2,10,5.0,12,52
2,4,8.25,4,33
2,16,7.0,21,117
2,2,6.0,6,16
2,10,5.7,15,62
2,2,7.0,4,16
2,4,4.5,7,21
2,5,7.0,28,58
1,1,6.0,5,10
2,3,9.0,4,28
1,1,8.0,3,10
2,6,6.5,9,42
2,1,8.0,4,11
2,5,6.8,7,36
2,18,5.666666666666667,26,110
2,3,5.333333333333333,3,16
2,18,6.222222222222222,20,114
1,1,5.0,4,8
2,13,6.384615384615385,18,88
1,1,9.0,8,16
2,4,7.75,30,57
2,2,4.0,16,22
2,6,7.333333333333333,27,65
2,11,6.454545454545454,21,81
2,17,6.529411764705882,26,120
2,5,8.0,18,53
2,5,5.8,11,35
2,3,7.666666666666667,16,36
2,16,6.0625,23,104
2,6,6.5,12,45
2,13,6.0,26,90
2,14,5.571428571428571,14,78
2,4,5.25,4,21
2,3,7.333333333333333,13,32
2,2,6.0,6,16
2,20,6.85,26,141
2,5,7.0,12,42
2,6,5.833333333333333,8,37
2,5,7.2,9,40
2,3,7.0,25,43
2,2,5.0,17,25
1,1,5.0,3,7
2,1,8.0,26,33
2,6,6.666666666666667,9,43
2,2,3.5,10,15
2,18,6.0,20,110
2,22,6.454545454545454,25,145
2,20,6.75,21,135
2,2,5.0,10,18
1,1,4.0,26,29
2,3,8.333333333333334,4,26
2,8,5.625,9,46
2,24,5.958333333333333,30,149
2,7,6.857142857142857,15,56
2,4,4.75,6,21
2,5,7.6,25,58
2,13,6.461538461538462,18,89
1,1,6.0,15,20
2,5,7.4,8,40
2,6,7.0,11,47
2,27,6.518518518518518,27,176
1,1,9.0,5,13
2,7,5.285714285714286,23,53
2,3,8.0,4,25
1,1,4.0,3,6
2,5,6.2,15,41
2,7,6.142857142857143,19,55
1,1,9.0,21,29
2,8,6.125,13,54
2,6,6.166666666666667,28,59
2,1,8.0,8,15
2,11,5.454545454545454,14,63
1,1,7.0,20,26
1,1,4.0,5,8
2,1,10.0,17,26
2,19,6.157894736842105,21,118
2,5,6.4,17,44
2,10,6.7,24,81
2,14,6.642857142857143,15,94
1,1,6.0,3,8
1,1,10.0,23,32
2,13,6.153846153846154,17,84
2,14,7.142857142857143,27,113
2,8,5.125,30,63
2,16,6.0625,25,106
2,9,6.222222222222222,10,57
2,3,5.333333333333333,6,19
2,7,6.428571428571429,9,47
2,4,8.5,13,43
2,8,5.75,15,53
2,5,4.8,23,42
2,6,6.166666666666667,7,38
2,1,6.0,13,18
2,3,6.333333333333333,15,31
2,25,7.08,28,179
2,13,6.615384615384615,17,90
2,4,5.75,6,25
2,17,6.705882352941177,21,118
2,18,6.611111111111111,30,130
2,13,6.0,15,80
2,14,6.285714285714286,15,89
2,4,7.75,19,46
2,8,5.5,14,50
1,1,4.0,3,6
2,3,6.0,9,24
2,3,8.666666666666666,6,29
2,17,5.9411764705882355,28,112
2,11,6.909090909090909,18,83
1,1,9.0,16,24
2,11,5.7272727272727275,11,63
2,17,6.529411764705882,17,111
2,11,7.090909090909091,18,85
2,4,7.5,28,54
2,9,6.555555555555555,16,66
2,17,5.588235294117647,20,98
2,7,6.857142857142857,8,49
2,7,7.0,20,62
2,10,6.1,26,77
2,4,7.25,6,31
2,16,6.125,30,112
2,15,7.133333333333334,17,109
2,1,3.0,15,17
2,8,5.125,22,55
2,5,7.6,12,45
2,4,6.75,4,27
2,1,5.0,11,15
2,16,7.0,20,116
2,8,7.25,9,59
2,25,7.04,28,179
2,6,6.333333333333333,6,38
2,7,6.0,16,51
2,23,6.086956521739131,25,142
2,18,7.333333333333333,18,132
2,3,7.333333333333333,7,26
2,6,4.833333333333333,7,30
